ellipse,gt1,gt2,projected
2.037012687214810658e+00,3.962342185124526628e-01,3.199646478247455406e+00,1.778602331773138101e-05
2.037012687214810658e+00,3.962342185124526628e-01,3.655813847444550735e+00,1.778602331773138101e-05
2.037012687214810658e+00,3.962342185124526628e-01,3.567572177892379237e+00,1.778602331773138101e-05
2.037012687214810658e+00,3.962342185124526628e-01,3.596817934279781248e+00,1.778602331773138101e-05
2.037012687214810658e+00,3.962342185124526628e-01,4.091334348991233050e+00,1.778602331773138101e-05
2.037012687214810658e+00,3.962342185124526628e-01,3.981485490160446616e+00,1.778602331773138101e-05
2.037012687214810658e+00,3.962342185124526628e-01,3.981485490160446616e+00,1.778602331773138101e-05
2.037012687214810658e+00,3.962342185124526628e-01,3.981485490160446616e+00,1.778602331773138101e-05
1.540380734035006194e+00,4.463640081589204667e-01,3.256611068489889682e+00,2.515815620945120241e-05
1.540380734035006194e+00,4.463640081589204667e-01,3.256611068489889682e+00,2.515815620945120241e-05
1.540380734035006194e+00,4.463640081589204667e-01,3.256611068489889682e+00,2.515815620945120241e-05
1.540380734035006194e+00,4.463640081589204667e-01,3.256611068489889682e+00,2.515815620945120241e-05
1.540380734035006194e+00,4.463640081589204667e-01,3.256611068489889682e+00,2.515815620945120241e-05
1.540380734035006194e+00,4.463640081589204667e-01,3.256611068489889682e+00,2.515815620945120241e-05
1.540380734035006194e+00,4.463640081589204667e-01,3.256611068489889682e+00,2.515815620945120241e-05
1.540380734035006194e+00,4.463640081589204667e-01,3.256611068489889682e+00,2.515815620945120241e-05
1.463072645580206110e+00,3.878789529191155050e-01,3.572167093480309585e+00,2.486355851464646689e-05
1.463072645580206110e+00,3.878789529191155050e-01,3.572167093480309585e+00,2.486355851464646689e-05
1.463072645580206110e+00,3.878789529191155050e-01,3.846317558373856915e+00,2.486355851464646689e-05
1.463072645580206110e+00,3.878789529191155050e-01,3.572167093480309585e+00,2.486355851464646689e-05
1.463072645580206110e+00,3.878789529191155050e-01,3.572167093480309585e+00,2.486355851464646689e-05
1.463072645580206110e+00,3.878789529191155050e-01,3.572167093480309585e+00,2.486355851464646689e-05
1.463072645580206110e+00,3.878789529191155050e-01,3.666176392321342181e+00,2.486355851464646689e-05
1.463072645580206110e+00,3.878789529191155050e-01,3.901868737104115858e+00,2.486355851464646689e-05
1.631876138519095409e+00,4.452891587240931370e-01,4.198454980077672261e+00,1.968391991167807659e-05
1.631876138519095409e+00,4.452891587240931370e-01,4.276452528105658679e+00,1.968391991167807659e-05
1.631876138519095409e+00,4.452891587240931370e-01,4.276452528105658679e+00,1.968391991167807659e-05
1.631876138519095409e+00,4.452891587240931370e-01,4.276452528105658679e+00,1.968391991167807659e-05
1.631876138519095409e+00,4.452891587240931370e-01,4.198454980077672261e+00,1.968391991167807659e-05
1.631876138519095409e+00,4.452891587240931370e-01,4.276452528105658679e+00,1.968391991167807659e-05
1.631876138519095409e+00,4.452891587240931370e-01,4.276452528105658679e+00,1.968391991167807659e-05
1.631876138519095409e+00,4.452891587240931370e-01,4.276452528105658679e+00,1.968391991167807659e-05
1.196004770927765026e+00,3.843573534958538707e-01,3.760613854022635039e+00,1.618100704916925180e-05
1.196004770927765026e+00,3.843573534958538707e-01,2.814565332592946501e+00,1.618100704916925180e-05
1.196004770927765026e+00,3.843573534958538707e-01,2.949638352554560861e+00,1.618100704916925180e-05
1.196004770927765026e+00,3.843573534958538707e-01,3.799759329346051206e+00,1.618100704916925180e-05
1.196004770927765026e+00,3.843573534958538707e-01,3.060456011386784247e+00,1.618100704916925180e-05
1.196004770927765026e+00,3.843573534958538707e-01,3.044538802891222140e+00,1.618100704916925180e-05
1.196004770927765026e+00,3.843573534958538707e-01,3.811491919546013740e+00,1.618100704916925180e-05
1.196004770927765026e+00,3.843573534958538707e-01,3.060456011386784247e+00,1.618100704916925180e-05
2.583767288750550062e+00,3.897963911909216872e-01,3.634774261848097598e+00,1.889177360525018471e-05
2.583767288750550062e+00,6.568999959447116010e-01,3.634774261848097598e+00,1.889177360525018471e-05
2.583767288750550062e+00,5.835919503250401874e-01,3.634774261848097598e+00,1.889177360525018471e-05
2.583767288750550062e+00,6.695065087572329432e-01,3.634774261848097598e+00,1.889177360525018471e-05
2.583767288750550062e+00,3.897963911909216872e-01,3.634774261848097598e+00,1.889177360525018471e-05
2.583767288750550062e+00,6.695065087572329432e-01,3.634774261848097598e+00,1.889177360525018471e-05
2.583767288750550062e+00,3.897963911909216872e-01,3.634774261848097598e+00,1.889177360525018471e-05
2.583767288750550062e+00,3.897963911909216872e-01,3.634774261848097598e+00,1.889177360525018471e-05
1.737802542552588481e+00,4.048423942341452531e-01,4.065180589947503975e+00,1.703458412506794924e-05
1.737802542552588481e+00,4.048423942341452531e-01,4.012081735960472351e+00,1.703458412506794924e-05
1.737802542552588481e+00,4.048423942341452531e-01,3.970113704750078298e+00,1.703458412506794924e-05
1.737802542552588481e+00,4.048423942341452531e-01,4.065180589947503975e+00,1.703458412506794924e-05
1.737802542552588481e+00,4.048423942341452531e-01,2.423485221992565108e+00,1.703458412506794924e-05
1.737802542552588481e+00,4.048423942341452531e-01,4.131103851850184583e+00,1.703458412506794924e-05
1.737802542552588481e+00,4.048423942341452531e-01,3.970113704702583846e+00,1.703458412506794924e-05
1.737802542552588481e+00,4.048423942341452531e-01,2.423485221992565108e+00,1.703458412506794924e-05
1.621062679049026567e+00,3.628722751242037803e-01,3.882901428904945718e+00,1.902417727287519471e-05
1.621062679049026567e+00,3.628722751242037803e-01,3.728128696382741136e+00,1.902417727287519471e-05
1.621062679049026567e+00,3.628722751242037803e-01,3.917614050881374155e+00,1.902417727287519471e-05
1.621062679049026567e+00,3.628722751242037803e-01,3.728128696382741136e+00,1.902417727287519471e-05
1.621062679049026567e+00,3.628722751242037803e-01,4.132888903801569924e+00,1.902417727287519471e-05
1.621062679049026567e+00,3.628722751242037803e-01,3.845010720189874220e+00,1.902417727287519471e-05
1.621062679049026567e+00,3.628722751242037803e-01,3.882901428904945718e+00,1.902417727287519471e-05
1.520643958853280298e+00,3.569681218299692316e-01,2.860585005274009163e+00,2.079187580215281664e-05
1.520643958853280298e+00,3.569681218299692316e-01,2.860585005274009163e+00,2.079187580215281664e-05
1.520643958853280298e+00,3.569681218299692316e-01,2.860585005274009163e+00,2.079187580215281664e-05
1.621062679049026567e+00,3.628722751242037803e-01,4.132888903801569924e+00,1.902417727287519471e-05
1.520643958853280298e+00,3.569681218299692316e-01,2.860585005274009163e+00,2.079187580215281664e-05
1.520643958853280298e+00,3.569681218299692316e-01,2.860585005274009163e+00,2.079187580215281664e-05
1.520643958853280298e+00,3.569681218299692316e-01,2.860585005274009163e+00,2.079187580215281664e-05
1.520643958853280298e+00,3.569681218299692316e-01,2.860585005274009163e+00,2.079187580215281664e-05
9.144266405684904342e-01,3.950291176867772869e-01,3.713705645726596227e+00,1.907614490062327736e-05
9.144266405684904342e-01,3.950291176867772869e-01,3.713705645726596227e+00,1.907614490062327736e-05
1.520643958853280298e+00,3.569681218299692316e-01,2.860585005274009163e+00,2.079187580215281664e-05
9.144266405684904342e-01,3.950291176867772869e-01,3.713705645726596227e+00,1.907614490062327736e-05
9.144266405684904342e-01,5.678706160216193677e-01,3.713705645726596227e+00,1.907614490062327736e-05
9.144266405684904342e-01,3.950291176867772869e-01,3.713705645726596227e+00,1.907614490062327736e-05
9.144266405684904342e-01,5.030509812622731003e-01,3.713705645726596227e+00,1.907614490062327736e-05
9.144266405684904342e-01,3.950291176867772869e-01,3.713705645726596227e+00,1.907614490062327736e-05
1.289019106267376813e+00,3.352073634752509301e-01,3.919956450911589396e+00,1.676860812822795658e-05
1.289019106267376813e+00,3.352073634752509301e-01,3.919956450911589396e+00,1.676860812822795658e-05
1.289019106267376813e+00,3.352073634752509301e-01,3.919956450911589396e+00,1.676860812822795658e-05
1.289019106267376813e+00,3.352073634752509301e-01,3.919956450911589396e+00,1.676860812822795658e-05
9.144266405684904342e-01,3.950291176867772869e-01,3.713705645726596227e+00,1.907614490062327736e-05
1.289019106267376813e+00,3.352073634752509301e-01,3.915338977988088054e+00,1.676860812822795658e-05
1.289019106267376813e+00,3.352073634752509301e-01,3.915338977988088054e+00,1.676860812822795658e-05
1.289019106267376813e+00,3.352073634752509301e-01,3.981847481938194822e+00,1.676860812822795658e-05
1.253828503756960311e+00,3.819512354336974114e-01,4.165707953161542854e+00,1.872980914267421889e-05
1.253828503756960311e+00,3.819512354336974114e-01,4.121550930937041279e+00,1.872980914267421889e-05
1.253828503756960311e+00,3.819512354336974114e-01,4.024718204954838008e+00,1.872980914267421889e-05
1.253828503756960311e+00,3.819512354336974114e-01,4.037125195822994783e+00,1.872980914267421889e-05
1.253828503756960311e+00,3.819512354336974114e-01,3.959731875354987274e+00,1.872980914267421889e-05
1.289019106267376813e+00,3.352073634752509301e-01,3.919956450911589396e+00,1.676860812822795658e-05
1.253828503756960311e+00,3.819512354336974114e-01,4.026706153432193069e+00,1.872980914267421889e-05
1.253828503756960311e+00,3.819512354336974114e-01,4.000640238839121565e+00,1.872980914267421889e-05
1.683638804097860486e+00,5.584499837453353877e-01,3.967702497159390163e+00,1.707868487359202365e-05
1.683638804097860486e+00,3.000415119344612691e-01,3.967702497159390163e+00,1.707868487359202365e-05
1.683638804097860486e+00,5.163723128399525519e-01,3.967702497159390163e+00,1.707868487359202365e-05
1.683638804097860486e+00,3.000415119344612691e-01,3.967702497159390163e+00,1.707868487359202365e-05
1.683638804097860486e+00,3.000415119344612691e-01,3.967702497159390163e+00,1.707868487359202365e-05
